Arm,Type,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Label,Normal tissue expression,TCGA expression
20q,ACC,1.35243303,1.311461981,1.939072099,,1.670314307,-2.411788584,,,,,,,,0.002890173,0.01734104,0.126537104,,0.121405751,1,0.176230017,0.719316515
20q,BLCA,1.245907858,0.1128858,0.365503566,,,-0.693827676,,,0.78847217,2.490379919,,,,0.002890173,0.01734104,-0.189805655,-0.983892113,0.121405751,1,1,1
20q,BRCA,1.436081772,0.144786848,0.904066304,0.07393125,1.665910783,-0.317488667,0.476080763,,0.931885031,1.208948118,,,,0.002890173,0.01734104,-0.569416966,-0.655928148,0.121405751,1,0.252833101,0.23661347
20q,CESC,0.99197832,-0.008236388,0.501153125,,,-1.195879504,,,,,,,,0.002890173,0.01734104,-0.284708483,,0.121405751,1,0.490515772,0.483253928
20q,COAD,1.336836493,0.394339943,1.428303581,0.05947625,1.098504369,-0.828075767,0.299937561,,1.141291743,1.586136248,,,,0.002890173,0.01734104,-0.221439931,0,0.121405751,1,0.46253761,0.307792992
20q,ESCA,1.130092224,0.246846981,0,0.06377925,0.721004482,-0.911838413,0.346014373,,1.081421089,0.95953781,,,,0.002890173,0.01734104,0,0,0.121405751,1,0.491727232,0.129938823
20q,GBM,1.534663804,1.383447427,1.447872131,0.110619375,1.688854678,-1.335366045,2.51254845,1.729040432,,,1.76864098,1.86614847,1.786986195,0.002890173,0.01734104,0.253074207,,0.121405751,1,0.385491866,0.147516811
20q,KICH,1.647390695,1.024891408,2.381881839,,,-2.722826138,,1.172825249,1.209691232,1.258986746,1.381447569,1.639373372,1.631150845,0.002890173,0.01734104,-0.063268552,0.983892003,0.121405751,0,0.103316845,0.61477633
20q,KIRC,1.647390695,1.024891408,2.381881839,,,-2.722826138,,1.172825249,1.209691232,1.258986746,1.381447569,1.639373372,1.631150845,0.002890173,0.01734104,-0.063268552,0.983892003,0.121405751,1,0.103316845,0.18237428
20q,KIRP,1.647390695,1.024891408,2.381881839,,,-2.722826138,,1.172825249,1.209691232,1.258986746,1.381447569,1.639373372,1.631150845,0.002890173,0.01734104,-0.063268552,0.983892003,0.121405751,1,0.103316845,0.278456569
20q,LAML,1.227871748,3.792607824,2.863132555,0.035181,1.184722855,-6.999569889,2.187042819,,0.949694018,1.395373249,,,,0.002890173,0.01734104,3.22669614,-0.655928148,0.121405751,0,0.725326959,0.386569732
20q,LGG,1.534663804,1.383447427,1.447872131,0.110619375,1.688854678,-1.335366045,2.51254845,1.729040432,,,1.76864098,1.86614847,1.786986195,0.002890173,0.01734104,0.253074207,,0.121405751,0,0.385491866,0.367208067
20q,LIHC,1.66055836,2.802115603,3.085195535,0.06091875,1.947404863,-4.657880364,0.608017902,1.627274997,1.251002614,2.007562959,2.114178401,1.869060112,1.829418795,0.002890173,0.01734104,1.138833932,0.327963964,0.121405751,1,0.196390697,0
20q,LUAD,1.730988096,1.116240322,1.676711725,0.09678325,0.609015326,-0.790438116,1.29729546,,0.604709574,0.77760213,,,,0.002890173,0.01734104,-0.189805655,-0.983892113,0.121405751,1,0.207820254,0.783793747
20q,LUSC,1.730988096,1.116240322,1.676711725,0.09678325,0.609015326,-0.790438116,1.29729546,,0.604709574,0.77760213,,,,0.002890173,0.01734104,-0.189805655,-0.983892113,0.121405751,1,0.207820254,0.748570381
20q,OV,0.946375176,1.030581661,1.117585885,0.093095,1.924011128,-1.560837713,0.245796563,0.916983766,1.019165868,1.475702103,1.822382519,,,0.002890173,0.01734104,0.063268552,-0.327964074,0.121405751,1,0.34568095,0.702962229
20q,PAAD,1.506381487,1.708362433,2.126551721,,1.274983185,-2.294909085,,,1.116307216,1.356414617,,,,0.002890173,0.01734104,0,-0.655928148,0.121405751,1,0.179028033,0.679172957
20q,PRAD,1.36875051,0.880173035,1.80530568,0.086813,1.68600988,-0.744022507,0.31146302,,2.328671848,1.74650253,,,,0.002890173,0.01734104,-0.253074207,0.983892003,0.121405751,0,0.624262425,0.268054874
20q,SKCM,1.72703034,1.626712513,2.28063107,0.086234625,0.459470155,-1.547447737,0.35378344,,1.517842216,1.213106289,,,,0.002890173,0.01734104,0.53778269,0,0.121405751,1,0.403761514,0.103275687
20q,STAD,1.428467362,0.830638686,1.657245918,0.072428,1.568820345,-0.8436189,,,,,,,,0.002890173,0.01734104,-0.316342759,,0.121405751,1,0.2466914,0.515912783
20q,TGCT,2.763591394,2.450427977,4.737369885,0.13752525,1.054431945,-4.053009985,1.092005336,2.267786838,,,1.766618414,2.021197317,2.041241452,0.002890173,0.01734104,3.416501795,,0.121405751,0,0.997527006,0.334971551
20q,THYM,1.167497794,0.076200924,0.913718686,0.0376915,0.224279946,-1.361628912,0.655361706,,2.239607651,,,,,0.002890173,0.01734104,-0.253074207,0.655928038,0.121405751,0,0.417689328,0.806159337
20q,UCEC,0.938217698,-0.016472776,0,0.0948065,1.973218513,-1.627999524,0.144317719,,1.236497167,1.22921995,,,,0.002890173,0.01734104,-0.442879862,-0.655928148,0.121405751,1,0.501806475,0.51489617
20q,UCS,0.938217698,-0.016472776,0,0.0948065,1.973218513,-1.627999524,0.144317719,,1.236497167,1.22921995,,,,0.002890173,0.01734104,-0.442879862,-0.655928148,0.121405751,1,0.501806475,0.580540184
1q,ACC,1.360827635,1.602573891,1.533249441,,1.484325549,-1.357837589,,,,,,,,0.008667389,0.01191766,0.254531113,,0.080820265,0,0.129495067,0.090183168
1q,BLCA,1.095790295,0.053793566,0,,,-1.643497077,,,1.402069803,1.938644715,,,,0.008667389,0.01191766,-0.347087881,-0.167728899,0.080820265,1,0.434164552,0.612261645
1q,BRCA,1.418321962,0.135487971,0.784714014,0.099632,1.776923074,-0.713623742,0.379791776,,1.052514244,1.169601415,,,,0.008667389,0.01191766,-0.254531113,-0.335457797,0.080820265,1,0.444278128,0.373335457
1q,CESC,1.188154785,0.083858373,0.39378376,,,-1.584103505,,,,,,,,0.008667389,0.01191766,-0.254531113,,0.080820265,1,0.183009089,0.467445701
1q,COAD,1.37781628,0.360650723,1.087520506,0.073958,1.186243346,-0.832228641,0.33935716,,1.357988232,1.276714695,,,,0.008667389,0.01191766,-0.05784798,0.167728899,0.080820265,1,0.277422047,0.320678231
1q,ESCA,1.090586443,0.291701957,0,0.06280825,0.64152629,-0.903640046,0.401813353,,1.015302498,1.058756114,,,,0.008667389,0.01191766,-0.046278384,-0.335457797,0.080820265,1,0.49918358,0.492403793
1q,GBM,1.510654317,1.13779346,1.571789533,0.0713835,1.645728142,-1.552180732,1.252977915,1.82916087,,,1.65705065,1.847487946,1.696187095,0.008667389,0.01191766,0.277670305,,0.080820265,1,0.396839111,0.74706897
1q,KICH,1.60805692,0.969944911,1.936192864,,,-1.185314413,,1.352698208,1.501186441,1.508881468,1.555192791,1.57362514,1.858528673,0.008667389,0.01191766,0.138835152,0.167728899,0.080820265,-1,0.09809216,0.072350243
1q,KIRC,1.60805692,0.969944911,1.936192864,,,-1.185314413,,1.352698208,1.501186441,1.508881468,1.555192791,1.57362514,1.858528673,0.008667389,0.01191766,0.138835152,0.167728899,0.080820265,0,0.09809216,0.313226771
1q,KIRP,1.60805692,0.969944911,1.936192864,,,-1.185314413,,1.352698208,1.501186441,1.508881468,1.555192791,1.57362514,1.858528673,0.008667389,0.01191766,0.138835152,0.167728899,0.080820265,0,0.09809216,0.132193264
1q,LAML,0.92980178,3.98680251,3.262934344,0.0975415,1.043107039,-5.695677707,3.048553665,,1.18401852,1.531528589,,,,0.008667389,0.01191766,3.470878809,0.838644637,0.080820265,0,0.798065632,0.5062713
1q,LGG,1.510654317,1.13779346,1.571789533,0.0713835,1.645728142,-1.552180732,1.252977915,1.82916087,,,1.65705065,1.847487946,1.696187095,0.008667389,0.01191766,0.277670305,,0.080820265,0,0.396839111,0.316194262
1q,LIHC,1.5,2.653872563,2.62680879,0.08626075,1.936208879,-3.955133636,0.62179979,1.982137118,1.185846699,1.73743351,2.248125407,2.02393922,2.012736354,0.008667389,0.01191766,1.989970517,0,0.080820265,1,0.418412688,0.479440133
1q,LUAD,1.574267497,1.438896952,2.053988297,0.145288,0.793298955,-1.330049845,1.61906218,,0.710872467,0.618730039,,,,0.008667389,0.01191766,-0.069417576,-0.838644637,0.080820265,1,0.178467886,0.954559153
1q,LUSC,1.574267497,1.438896952,2.053988297,0.145288,0.793298955,-1.330049845,1.61906218,,0.710872467,0.618730039,,,,0.008667389,0.01191766,-0.069417576,-0.838644637,0.080820265,1,0.178467886,0.900869855
1q,OV,1.120664428,1.049958841,0.722158145,0.109543,1.830377582,-2.129787245,0.332372137,0.750824994,0.810757367,1.183579505,1.570329973,,,0.008667389,0.01191766,-0.046278384,-0.670915739,0.080820265,1,0.119825542,0.58120918
1q,PAAD,1.751329885,1.756240223,2.192177837,,1.210816513,-1.656358252,,,0.792093721,1.548705766,,,,0.008667389,0.01191766,0.300809497,-0.838644637,0.080820265,1,0.232858586,0.468900293
