Type,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21q,22q
ACC,-1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,-1,0,0,1,1,0,0,0,0,1,1,1,1,0,-1
BLCA,0,1,0,0,1,1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,1,0,-1,0,1,1,1,0,-1
BRCA,-1,1,0,0,0,0,-1,-1,1,-1,0,-1,1,1,-1,1,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,1,1,0,-1
CESC,1,1,0,0,-1,1,-1,-1,1,0,0,-1,0,0,-1,1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0,1,1,0,-1
COAD,-1,1,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,1,0,0,0,0,0,0,0,1,1,-1,-1,1,0,-1,1,-1,-1,0,0,1,1,-1,-1
ESCA,0,1,0,0,-1,1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,1,-1,-1
GBM,1,1,0,0,0,0,0,0,0,0,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,1,1,1,1,0,-1
KICH,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0
KIRC,-1,0,1,1,-1,-1,0,0,1,1,-1,-1,1,1,-1,-1,-1,-1,0,-1,0,0,1,1,0,-1,0,1,1,0,0,-1,-1,0,0,1,1,0,0
KIRP,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,1,0,-1
LAML,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1
LGG,-1,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,-1,0,0,0,-1
LIHC,-1,1,0,0,0,0,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,-1,-1,1,0,0,0,0,1,1,-1,0
LUAD,1,1,0,0,-1,-1,0,0,1,-1,0,-1,1,1,-1,1,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,1,-1,-1,-1,-1,1,1,-1,-1
LUSC,-1,1,1,0,-1,1,-1,-1,1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,0,0,1,0,-1,-1,0,0,-1,-1,0,0,-1,-1,1,1,1,-1,1
OV,1,1,0,0,0,1,-1,-1,0,-1,-1,-1,0,1,-1,1,-1,-1,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1
PAAD,-1,1,0,0,-1,0,0,0,0,0,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,1,-1,-1
PRAD,-1,0,0,0,1,1,0,0,0,0,0,-1,1,1,-1,1,0,1,0,-1,0,1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,-1
SKCM,0,1,0,0,0,0,0,0,0,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,1,1,0,1
STAD,0,1,0,0,-1,0,-1,-1,0,-1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1
TGCT,0,1,0,0,0,0,-1,-1,-1,-1,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,0,0,0,0,-1,-1,-1,-1,0,0,1,0
THYM,0,1,0,0,-1,0,0,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,-1
UCEC,0,1,1,1,0,1,-1,-1,0,-1,1,0,0,0,1,1,-1,-1,1,1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,1,1,0,-1
UCS,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,1,1,1,0,-1
