Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
ACC-20q,-0.03545865109430173,-0.025708882667952928,-0.026462919531394787,0.010741802399933414,-0.03245874108772271,0.0031195323624909647,-0.012548004098631608,0.021027861010906597,0.02115964246326161,-0.013679666819500684,-0.034022470004368206,0.0716061146657925,0.014847722118322255,1.410369619751932,0.4276419115102146,0.05159424429624304,0.043294839646840555,0.3488241407713817,0.09937987309245291,0.3097342860272915
BLCA-20q,-0.1446147137871714,0.0544782793122635,0.18397529849296304,-0.08199184660523688,0.023632252202740126,0.000987809387629624,-0.010795068639839301,0.028401509895307712,0.31302620986619867,-0.020078019877427248,-0.027570246018370503,0.0565516025164893,0.011935547676403183,1.4215399787274046,0.3951026194907665,0.01640771220424402,-0.010064775516475659,0.5562618893023152,-0.043601147369190754,0.4042908614939809
BRCA-20q,0.025183210310375945,0.05657003509876936,0.019104848240356402,0.02679489759902749,-0.04978254188274364,0.0009934074554350718,-0.11673900950552475,0.02812068080535265,0.280853188697077,-0.062437592250661055,-0.03755695314897617,0.048586154939269516,0.012050402159697531,1.6244847218007137,0.5076677777361841,0.13815699357061428,-0.003055652052129744,0.47865310195468935,0.06497263899512187,-0.20333938640396734
CESC-20q,-0.11814979237223432,0.11214010741407901,0.13818850678163622,0.014312225694498805,0.022939757779724027,-0.005144938487007783,-0.013684278158234198,0.02812068080535265,0.03482093172376896,-0.013263356603179113,-0.03364172926832541,0.04994605162266333,0.01387817684747242,1.53405600177877,0.4682643288838121,-0.02644226224953409,0.004234894398187149,0.3101430868232142,-0.002951045597874055,0.017009176248230864
COAD-20q,-0.09817186100812171,0.00702061584167853,-0.0649805796853378,0.027608792670816732,0.029906298556588978,0.0033956542664661292,0.016961033608742373,0.02812068080535265,0.2805831704227895,-0.014286002968905474,-0.03020186306032217,0.048586154939269516,0.012170508689424115,1.603322354112742,0.5118557218010241,0.009219100733875508,0.002995568532375397,0.4682835274311884,0.12357380251717372,-0.1457515203435781
ESCA-20q,-0.1511904369822874,0.03623420478784664,0.09005328859507182,-0.018524200868616714,0.16077575587921622,0.00016238827914756343,-0.009864509000573805,0.02812068080535265,0.19605277548357639,0.08851239938553299,-0.050266458586396875,0.027709516651145478,0.012050402159697531,1.6725581778424181,0.5623441424443091,0.016790179376130084,0.003333260553860639,0.47448008211935994,-0.02545393613980998,-0.24331814249709952
GBM-20q,0.0248558459052131,-0.015370684670923878,-0.051511683820746224,0.029033358440741407,-0.06291113629151233,0.11202947455259543,-0.003351596030382608,0.025251017546233066,0.07884825002634524,-0.022331482285005838,-0.12105216385334468,0.044383855139177184,0.012170508689424115,1.4978352562731188,0.5915675515711266,0.011303792235076333,0.0048067994358312206,0.3852935491895388,0.02162897376271262,0.4365683438365279
KICH-20q,0.0952998947112322,-0.030504437353173517,-0.07760501640417769,0.0070609659037073275,-0.023076718356132144,0.0031195323624909647,-0.026559228630803157,-0.28106891441059145,0.019757629351998728,-0.05121349732502771,-0.10277902973266768,-0.15765780485667968,-0.10183628898616863,1.0285725403468435,0.5208974099242771,-0.12719549613765915,0.10755679790353405,0.33039074217445663,0.06267714327632204,-0.2301543507939393
KIRC-20q,0.0951152096783596,-0.02533560429853311,0.16987418168833787,0.010525609334173089,0.022951124124116786,0.0031171331905743447,-0.06116263765307234,-0.28106891441059145,0.05366397955843349,-0.05005532599701234,-0.11262751876788005,-0.04688028151475909,-0.10384846342520397,1.1349601375589322,0.6203538121285795,-0.04795588466226051,0.09929416119573108,0.43953245958307946,0.06267582511378074,0.10346271464071115
KIRP-20q,0.0951152096783596,-0.02533560429853311,0.15959194518760203,0.010525609334173089,0.023069988818829216,0.0031171331905743447,-0.03637463311776166,-0.28106891441059145,0.019388316534488782,-0.05005532599701234,-0.11262751876788005,-0.04688028151475909,-0.10384846342520397,1.1664631770308949,0.5643982570927037,-0.04795588466226051,0.09929416119573108,0.30222134125885963,0.06267582511378074,0.0725267200521438
