Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
KICH-20q,-0.0415095,-0.3068093,-0.16318916,-0.3191566,-0.2445394,-0.80693454,-0.0692149,-0.1982047,-0.059899285,-0.15208033,-0.15429902,-0.012782551,-0.058981963,-0.4532242,-1.534323,-0.101142146,0.20088533,-0.51729465,0.25574782,-0.87816
LAML-20q,-0.45916876,-1.1915786,0.20731163,0.052258465,-0.32041708,-0.25333363,-1.3341309,-0.015882358,0.05203677,-0.18726103,-0.11232777,0.065424435,-0.08144517,0.2777101,-0.9781619,-0.15820006,-0.10532546,-0.81077886,0.15002674,-1.316123
LGG-20q,-0.10028499,0.020988505,0.16316408,0.06156263,0.06387148,0.022502942,-0.29065827,-0.019519933,-0.03765247,-0.15420532,-0.14706068,0.07437572,0.021159075,0.17807151,-2.6767373,0.15976621,-0.009744655,-1.1596224,-0.093225196,-0.2716509
PRAD-20q,-0.20466202,-0.19479297,-0.21209195,-0.24791637,0.06543713,0.26874626,0.08976568,-0.009954535,-0.05594584,0.33694226,-0.08463155,-0.00130111,-0.10280016,-0.3960409,-2.3127325,-0.90318745,0.54537,-0.7452028,0.110836454,-0.23476303
TGCT-20q,0.5436032,-0.18098833,0.3400825,0.11576596,-0.101623885,-0.754147,0.041331574,-0.16049694,-0.05722867,-0.16961044,-0.14501245,-0.25370073,0.03695634,0.2056706,-2.1656754,-0.051903833,-0.092033125,-1.4373807,-0.0023178856,0.1580944
THYM-20q,-0.318095,-0.54220945,-0.04569596,-0.061585054,-0.63030463,-0.48076305,-0.16667873,-0.0029061288,0.014471786,-0.14635241,-0.12429299,-0.0075104013,-0.037031386,0.045962185,-1.3836154,-0.8788403,0.13747442,-0.72503626,-0.10672953,-0.9975933
ACC-1q,-0.117333405,-0.6624576,-0.10840118,-0.32482854,-0.21672286,-0.6373236,-0.15479611,0.02812715,-0.12813264,-0.13067591,-0.16605422,-0.06767537,-0.09379478,-1.1727774,-0.38554475,0.058408905,-0.04901654,-0.097267896,-0.09046131,0.1393321
KICH-1q,0.13311931,0.030030208,-0.36441255,-0.25899816,-0.104227066,0.44112855,-0.043870732,0.0984944,0.13504879,-0.0020653722,0.0122777745,0.1752985,-0.028151497,-1.0585843,0.009189726,0.1979044,0.10765731,0.1539416,-0.34989312,2.2306097
KIRC-1q,0.059515726,-0.13051283,-0.61945754,-0.29675302,-0.19681232,0.29018956,-0.08067627,0.09936881,0.022196218,-0.0143730175,-0.06489633,-0.016938914,-0.07371151,-1.446563,-0.12601268,0.053068712,0.034810256,0.094182864,-0.46679285,-0.60847276
KIRP-1q,0.12833993,-0.039718885,-0.37308756,-0.3093107,-0.13768002,0.4037884,-0.07420091,0.0984944,0.098995775,-0.0020653722,0.0122777745,0.1752985,-0.06553565,-1.2866569,-0.12678924,0.15143465,0.050588865,0.084693655,-0.36894503,0.8561213
