Feature,Importance value
0.23403089,Normal tissue expression
0.20215484,Num PPIs
0.34006852,Num elevated PPIs
0.24895898,Num tissue-specific PPIs
0.2812596,Differential PPIs
0.34656265,Gene eQTL
0.42952827,Paralogs compensation
0.405548,Process activity
0.8118348,CCL expression
0.37340075,CRISPR essentiality score
0.26932022,RNAI essentiality score
0.34048316,Tumor suppressor gene density
0.60790235,Oncogene density
0.25614065,Tissue-specific gene density
0.25115332,Essential gene density (CRISPR)
0.41207877,Essential gene density (Nichols)
