DepMap ID,KLF5 log2(TPM+1) Expression Public 22Q4,filter,Cell Line Name,Primary Disease, Custom cell line group,Lineage
ACH-001113,6.473949222,1,LC1SQSF,Non-Small Cell Lung Cancer,out group,Lung
ACH-001289,2.767654798,1,COGAR359,Embryonal Tumor,out group,CNS/Brain
ACH-001339,3.078951341,1,COLO794,Melanoma,out group,Skin
ACH-001538,5.250961574,1,KKU213,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000242,6.482041542,1,RT4,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000708,6.696550301,1,SNU283,Colorectal Adenocarcinoma,in group,Bowel
ACH-000327,2.500802053,1,NCIH1395,Non-Small Cell Lung Cancer,out group,Lung
ACH-000233,2.17951105,1,DEL,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000461,5.94602899,1,SNU1196,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000705,6.854619084,1,LC1F,Non-Small Cell Lung Cancer,out group,Lung
ACH-001794,2.929790998,1,93T449,Liposarcoma,out group,Soft Tissue
ACH-002023,6.285587168,1,TGBC18TKB,Ampullary Carcinoma,in group,Ampulla of Vater
ACH-000528,5.818390444,1,ABC1,Non-Small Cell Lung Cancer,out group,Lung
ACH-001655,2.853995647,1,SKN,Uterine Sarcoma/Mesenchymal,out group,Uterus
ACH-000167,0.50589093,1,KE97,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000792,2.364572432,1,BFTC909,Renal Cell Carcinoma,out group,Kidney
ACH-001098,7.355879621,1,KCIMOH1,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000570,0.871843649,1,YKG1,Diffuse Glioma,out group,CNS/Brain
ACH-000351,4.586164246,1,MKN1,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-002040,1.659924558,1,HMVII,Mucosal Melanoma of the Vulva/Vagina,out group,Vulva/Vagina
ACH-000769,5.0725346,1,LK2,Non-Small Cell Lung Cancer,out group,Lung
ACH-000154,1.700439718,1,HS888T,Non-Cancerous,out group,Fibroblast
ACH-000828,3.496973581,1,ZR7530,Invasive Breast Carcinoma,out group,Breast
ACH-000421,5.148934105,1,SW837,Colorectal Adenocarcinoma,in group,Bowel
ACH-000765,2.784503983,1,WM983B,Melanoma,out group,Skin
