Other,COAD
5.9,12.358
4.06,13.6495
4.59,12.8684
5.94,13.7786
3.14,13.3353
2.64,12.9372
8.96,13.2509
4.63,13.2178
4.94,13.0266
10.72,12.9648
4.18,13.4095
3.05,12.0377
2.73,13.3797
4.45,12.712
4.35,12.6754
3.48,11.8072
4.43,13.2666
5.17,12.7518
4.16,13.5667
7.5,13.3536
4.1,14.1833
6.68,13.2877
3.6,12.5862
3.17,12.1155
3.6,13.0249
5.01,13.2454
5.74,12.7752
3.41,12.4416
4.88,13.0624
3.5,12.7284
4.58,14.0141
4.32,13.0406
3.56,13.0196
3.27,12.8249
4.44,13.4702
5.6,13.1816
3.79,12.6332
2.71,13.5699
4.31,11.6575
4,12.9273
5.37,12.3559
2.95,11.3185
3.78,13.5635
4.4,13.331
3.8,13.207
4.07,12.3179
4.85,13.5246
3.57,11.5255
3.31,13.3223
5.4,13.0517
6.06,13.1266
5.26,12.5585
4.27,11.9518
5.46,14.1452
5.22,10.6786
3.43,13.1638
3.39,13.0795
2.96,13.4585
3.67,14.3628
6.32,13.2057
4.54,13.0821
4.01,13.8547
3.86,13.0804
5.87,12.8644
4.95,12.373
3.89,13.4121
4.34,13.7229
4.08,12.5397
4.34,12.9051
2.68,12.2354
4.42,13.503
4.85,13.3378
5.34,12.1094
6.86,12.9927
3.22,13.0261
3.88,12.4815
4.43,13.9707
5.6,10.7505
5.5,13.2659
14.28,13.0758
13.02,13.4136
14.01,12.8107
14.83,13.4198
13.76,12.5877
10.2,12.1201
13.21,12.9014
12.54,12.3377
14.24,12.7272
12.48,13.4379
12.85,11.4254
12.88,13.6183
11.34,12.8668
12.86,13.7964
11.93,13.4378
12.5,12.9761
11.93,12.8651
12.03,13.1363
10.04,12.4861
11.48,12.9167
12.55,12.7115
13.8,12.3709
12.25,13.6785
12.82,12.5551
12.46,12.688
6.39,12.4732
12.56,12.8451
7.23,12.4795
11.52,13.3113
9.68,13.1558
12.59,12.7797
12.88,13.3474
11.97,13.1531
12.55,13.0503
7.96,13.3276
7.47,13.1659
13.12,13.6663
13.13,12.4051
6.5,12.4571
11.61,13.3126
7.56,12.1412
13.58,12.7461
13.91,12.7844
13.43,13.7286
12.13,10.4163
12.8,13.2298
12.15,13.3384
13.66,13.6725
6.78,13.3052
14.25,13.5729
11.73,12.9633
14.25,12.7582
12,12.2341
12.91,13.0363
11.45,13.5377
11.83,13.4143
12.25,13.7548
12.23,13.3425
11.88,12.4315
6.85,13.2866
11.46,12.8271
12.44,13.9803
12.43,13.0306
13.31,13.45
13.21,13.5012
13.57,12.9853
13.86,12.7457
12.1,12.188
13.37,12.5164
12.75,12.6406
13.37,12.9965
12.06,13.7975
13.28,13.287
12.57,12.6877
12.9,11.994
14.13,12.166
13.58,11.9928
13.36,12.4092
13.26,12.8588
12.86,13.2001
13.33,12.5469
12.95,13.2926
