type,value
in group,12.358
in group,13.6495
in group,12.8684
in group,13.7786
in group,13.3353
in group,12.9372
in group,13.2509
in group,13.2178
in group,13.0266
in group,12.9648
in group,13.4095
in group,12.0377
in group,13.3797
in group,12.712
in group,12.6754
in group,11.8072
in group,13.2666
in group,12.7518
in group,13.5667
in group,13.3536
in group,14.1833
in group,13.2877
in group,12.5862
in group,12.1155
in group,13.0249
in group,13.2454
in group,12.7752
in group,12.4416
in group,13.0624
in group,12.7284
in group,14.0141
in group,13.0406
in group,13.0196
in group,12.8249
in group,13.4702
in group,13.1816
in group,12.6332
in group,13.5699
in group,11.6575
in group,12.9273
in group,12.3559
in group,11.3185
in group,13.5635
in group,13.331
in group,13.207
in group,12.3179
in group,13.5246
in group,11.5255
in group,13.3223
in group,13.0517
in group,13.1266
in group,12.5585
in group,11.9518
in group,14.1452
in group,10.6786
in group,13.1638
in group,13.0795
in group,13.4585
in group,14.3628
in group,13.2057
in group,13.0821
in group,13.8547
in group,13.0804
in group,12.8644
in group,12.373
in group,13.4121
in group,13.7229
in group,12.5397
in group,12.9051
in group,12.2354
in group,13.503
in group,13.3378
in group,12.1094
in group,12.9927
in group,13.0261
in group,12.4815
in group,13.9707
in group,10.7505
in group,13.2659
in group,13.0758
in group,13.4136
in group,12.8107
in group,13.4198
in group,12.5877
in group,12.1201
in group,12.9014
in group,12.3377
in group,12.7272
in group,13.4379
in group,11.4254
in group,13.6183
in group,12.8668
in group,13.7964
in group,13.4378
in group,12.9761
in group,12.8651
in group,13.1363
in group,12.4861
in group,12.9167
in group,12.7115
in group,12.3709
in group,13.6785
in group,12.5551
in group,12.688
in group,12.4732
in group,12.8451
in group,12.4795
in group,13.3113
in group,13.1558
in group,12.7797
in group,13.3474
in group,13.1531
in group,13.0503
in group,13.3276
in group,13.1659
in group,13.6663
in group,12.4051
in group,12.4571
in group,13.3126
in group,12.1412
in group,12.7461
in group,12.7844
in group,13.7286
in group,10.4163
in group,13.2298
in group,13.3384
in group,13.6725
in group,13.3052
in group,13.5729
in group,12.9633
in group,12.7582
in group,12.2341
in group,13.0363
in group,13.5377
in group,13.4143
in group,13.7548
in group,13.3425
in group,12.4315
in group,13.2866
in group,12.8271
in group,13.9803
in group,13.0306
in group,13.45
in group,13.5012
in group,12.9853
in group,12.7457
in group,12.188
in group,12.5164
in group,12.6406
in group,12.9965
in group,13.7975
in group,13.287
in group,12.6877
in group,11.994
in group,12.166
in group,11.9928
in group,12.4092
in group,12.8588
in group,13.2001
in group,12.5469
in group,13.2926
in group,12.8775
in group,11.4929
in group,13.5668
in group,12.7807
in group,12.7952
in group,12.4401
in group,13.8183
in group,12.4981
in group,12.7842
in group,13.2856
in group,14.2274
in group,13.8803
in group,12.9707
in group,14.3598
in group,13.3531
in group,12.4282
in group,12.7421
in group,12.7238
in group,13.1167
in group,12.9688
in group,13.3165
in group,13.5634
in group,12.867
in group,13.4918
in group,12.9243
in group,13.1351
in group,13.1444
in group,13.83
in group,13.3017
in group,12.9123
in group,13.3189
in group,13.469
in group,13.3736
in group,13.6081
in group,12.7594
in group,13.799
in group,12.3477
in group,12.5521
in group,13.1453
in group,13.6356
in group,12.2883
in group,13.1269
in group,13.0158
in group,13.5361
in group,12.7957
in group,13.5111
in group,12.7224
in group,13.6655
in group,12.2849
in group,13.1911
in group,13.2413
in group,12.7122
in group,14.4496
in group,13.755
in group,13.5066
in group,13.5021
in group,12.5977
in group,12.428
in group,12.5238
in group,13.7722
in group,13.6028
in group,10.9692
in group,12.3451
in group,13.1424
in group,12.5575
in group,13.6734
in group,13.4853
in group,13.0314
in group,13.0684
in group,13.1497
in group,13.3485
in group,13.8573
in group,12.5587
in group,13.4036
in group,13.8153
in group,13.4721
in group,12.3847
in group,14.2307
in group,13.1623
in group,12.9181
in group,12.6168
in group,13.8223
in group,12.4255
in group,13.6939
in group,13.9392
in group,13.0581
in group,11.948
in group,13.5739
in group,13.0587
in group,12.8496
in group,11.5035
in group,13.8359
in group,12.3165
in group,12.2871
in group,13.5452
in group,12.3147
in group,12.4027
in group,13.8379
in group,12.8974
in group,13.1578
in group,13.0166
in group,13.0594
in group,12.313
in group,13.3073
in group,12.7396
in group,11.7701
in group,13.5463
in group,12.8529
in group,11.7323
in group,12.68
in group,13.0641
in group,12.6956
in group,13.2301
in group,12.0986
in group,12.2099
in group,13.395
in group,12.4576
in group,12.9799
in group,12.3249
in group,13.0183
in group,13.4639
in group,12.6704
in group,13.8915
in group,12.7794
in group,12.4587
in group,13.5869
in group,13.7018
in group,13.6403
in group,13.1034
in group,13.1095
in group,13.4086
in group,12.8922
in group,13.0126
in group,12.7931
in group,12.7903
in group,13.0678
in group,13.4807
in group,12.1794
in group,13.7882
in group,12.6818
in group,13.165
in group,13.5161
in group,13.9711
in group,13.3516
in group,13.2982
in group,13.208
in group,13.28
in group,12.4548
in group,12.6697
in group,12.8598
in group,12.6501
in group,12.9374
in group,13.4106
in group,13.2455
in group,12.7308
in group,12.8496
in group,12.3973
