Pair,Count (All features),Count (Top-five),Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
ACC-20q,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
BLCA-20q,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
BRCA-20q,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
CESC-20q,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
COAD-20q,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
ESCA-20q,5,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
GBM-20q,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
KICH-20q,5,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
KIRC-20q,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
KIRP-20q,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
LAML-20q,8,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
LGG-20q,5,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
LIHC-20q,7,2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0
LUAD-20q,7,3,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
LUSC-20q,6,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
OV-20q,8,3,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1
PAAD-20q,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
PRAD-20q,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
