Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
ACC,0,0,0,1,1,0,1,0,0,0,0,1,-1,0,0,1,0,0,1,1,0,-1
BLCA,0,0,1,-1,0,0,1,0,-1,0,-1,0,0,-1,-1,0,0,0,0,1,0,-1
BRCA,-1,0,0,-1,0,0,1,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,-1
CESC,1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,-1
COAD,0,0,0,-1,0,0,1,1,0,0,0,0,1,-1,-1,0,0,-1,0,1,-1,-1
ESCA,0,0,0,-1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,-1,-1,1,-1,-1
GBM,1,0,0,0,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,1,1,0,-1
KICH,-1,-1,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,0
KIRC,0,1,-1,0,1,-1,1,-1,-1,0,0,1,0,-1,0,1,0,-1,0,1,0,0
KIRP,0,0,1,0,0,0,1,0,0,0,0,1,0,-1,0,1,1,0,0,1,0,-1
LAML,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,1
LGG,0,0,0,-1,0,0,1,0,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,-1
LIHC,-1,0,0,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0,1,-1,0
LUAD,1,0,-1,0,0,0,1,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,1,-1,-1
LUSC,0,0,-1,-1,-1,0,1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,1,-1,1
OV,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,-1
PAAD,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1
PRAD,0,0,1,0,0,0,1,1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1
SKCM,0,0,0,0,0,-1,1,1,-1,-1,-1,0,0,-1,0,0,0,0,0,1,0,1
STAD,0,0,0,-1,0,0,1,1,-1,0,0,0,1,-1,0,-1,0,-1,-1,1,-1,-1
TGCT,0,0,0,-1,-1,0,1,1,-1,-1,-1,1,-1,1,1,0,0,-1,-1,0,1,0
THYM,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,-1
UCEC,0,1,0,-1,0,0,0,1,-1,1,-1,0,-1,0,-1,-1,-1,0,0,1,0,-1
UCS,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,1,0,-1
