Chromosome,Average_Deletion_Frequency,Average_Amplification_Frequency,Total_N_Genes_analyzed,N_TSGs_in_the_arm,Density_TSG_in_the_arm,CharmTSG_score,N_OGs_in_the_arm,Density_OG_in_the_arm,CharmOG_score,N_Essential_in_the_arm,Density_Essenatil_in_the_arm,ChromEssential_score,Chrom(TSG-OG)score,Chrom(TSG-OG-Ess)score
1,0.058119965,0.058705537,1936,32,0.016528926,2.327995868,22,0.011363636,1.150826446,32,0.016528926,2.522210744,0.582192149,-1.054722624
2,0.058997836,0.06431048,1184,26,0.021959459,3.025337838,18,0.015202703,2.262668919,22,0.018581081,3.488175676,-0.407130912,-2.670956926
3,0.034820834,0.068274961,1037,14,0.013500482,2.129218901,16,0.015429122,2.293153327,18,0.017357763,3.040501446,-1.349494696,-3.322780135
4,0.091142768,0.033095774,709,12,0.016925247,2.283497884,18,0.02538787,2.119887165,5,0.007052186,1.493653032,-0.932370945,-1.901751763
5,0.037626424,0.081709729,838,12,0.014319809,2.476133652,9,0.010739857,1.366348449,17,0.020286396,3.324582339,0.403383055,-1.754270883
6,0.096901427,0.045709008,997,20,0.020060181,2.912738215,14,0.014042126,1.417251755,19,0.019057172,2.900702106,0.762767302,-1.119788365
7,0.011958937,0.243296969,857,6,0.007001167,0.968494749,24,0.028004667,3.772462077,10,0.011668611,1.815635939,-4.754330222,-5.932677946
8,0.033068518,0.134471261,630,8,0.012698413,1.042857143,9,0.014285714,1.53968254,12,0.019047619,3.441269841,-1.29284127,-3.526225397
9,0.114084849,0.044754992,744,7,0.009408602,1.376344086,9,0.012096774,1.580645161,11,0.014784946,2.350806452,-1.021494624,-2.547168011
10,0.152789084,0.039251374,701,13,0.018544936,2.871611983,8,0.011412268,1.32382311,6,0.008559201,1.429386591,0.863372325,-0.064299572
11,0.063457704,0.042265368,1248,12,0.009615385,1.620192308,12,0.009615385,1.233974359,22,0.017628205,2.869391026,-0.251746795,-2.113981571
12,0.01716865,0.092525475,993,16,0.01611279,2.609264854,21,0.021148036,3.040281974,24,0.024169184,3.940584089,-2.0028429,-4.560281974
13,0.15459303,0.09553632,303,9,0.02970297,4.650165017,3,0.00990099,1.805280528,3,0.00990099,1.755775578,1.911554455,0.772056106
14,0.108161967,0.070359618,580,13,0.022413793,3.055172414,6,0.010344828,1.489655172,18,0.031034483,4.186206897,0.795365517,-1.921482759
15,0.08139722,0.046876862,542,12,0.022140221,3.356088561,7,0.012915129,1.612546125,11,0.020295203,3.780442804,0.909856089,-1.543651292
16,0.06777072,0.063803994,772,13,0.016839378,2.965025907,8,0.010362694,1.14119171,15,0.019430052,4.204663212,1.233838083,-1.494988342
17,0.117082192,0.027104146,1102,22,0.019963702,3.066243194,14,0.012704174,1.55353902,28,0.025408348,4.384754991,0.709524501,-2.136181488
18,0.107414372,0.054759956,260,3,0.011538462,2.519230769,1,0.003846154,0.246153846,3,0.011538462,1.165384615,2.145815385,1.389480769
19,0.033504028,0.070750724,1338,13,0.009715994,1.621076233,13,0.009715994,1.186846039,20,0.014947683,2.775784753,-0.179369208,-1.980853513
20,0.011086214,0.233927218,523,3,0.005736138,0.883365201,6,0.011472275,1.407265774,15,0.028680688,3.604206501,-1.251456979,-3.590586998
21,0.111061616,0.063896994,213,5,0.023474178,2.685446009,1,0.004694836,1.117370892,3,0.014084507,1.14084507,0.990394366,0.249985915
22,0.139567199,0.076110534,414,7,0.016908213,3.096618357,4,0.009661836,1.234299517,3,0.007246377,1.263285024,1.22418599,0.40431401
