Instance,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
KICH-20.0,-0.12329114,0.27485272,-0.121288955,-0.3961927,-0.25560477,-0.2704576,-0.32790256,-0.16505863,0.053250123,0.23692489,-0.0261708,0.1768544,-0.75447786,-0.5559585,-0.525307,-0.17792691,-0.27550155,0.30341777,-0.7597843,-0.5479691
LAML-20.0,-0.12791723,-0.58728796,-0.3753806,-0.30549288,0.12825367,-0.30608243,-0.25470752,-0.05019614,-0.08232271,-0.23541051,0.054427482,-0.14044952,-1.1526368,-0.47999296,-0.3939557,0.14739758,-0.72352237,0.3785204,0.3049578,-0.33305374
LGG-20.0,0.121941835,-0.3941318,-0.27990296,-0.092169225,0.15758035,0.13851343,-0.3833054,-1.0068539,0.018197505,-0.048050914,-0.0179432,0.11988829,-1.1759745,0.04381755,-0.36116755,0.29939145,-0.5853762,-0.05156097,0.03854753,-0.83955634
PAAD-20.0,0.08232243,-0.41960043,-0.14704947,-0.5083479,-0.25699857,-0.17054588,-0.746645,-0.15210535,-0.1428644,-0.28622225,0.0072327643,-0.09451072,0.03329075,-0.6416512,-0.30789784,0.02679905,-0.7510052,0.35316595,-0.123311,-0.24800423
PRAD-20.0,0.20167279,-0.4812943,0.0022300335,-0.4984627,-0.31737167,0.19511579,0.14117649,0.014906371,-0.020414822,-0.20195265,0.020928469,-0.07684382,0.13220637,-0.28198949,0.3268615,-0.249802,-0.5576348,-0.52614236,-0.5688369,-0.7759812
TGCT-20.0,0.28006074,0.5089776,-0.3689673,-0.0709274,0.16582967,-0.19687171,-1.0761191,0.20322125,0.16802621,-0.114398316,-0.11050334,0.053583,-1.1477665,0.09681587,-0.5187029,0.08094812,-0.533708,0.29670754,0.057913214,-1.0176978
THYM-20.0,-0.1953953,-0.063779116,-0.20402692,0.23816147,0.025180597,-0.32269058,0.484485,-0.06639806,-0.014977856,-0.22388738,0.050951347,-0.07728058,-0.031497553,-0.49663278,-0.50162715,-0.37931207,-0.7236252,0.5347879,-1.1080177,-0.43745607
ACC-1.0,-0.61942244,-0.6563487,-0.24307448,-0.68823624,-0.3249172,-0.2144649,-0.3379028,-0.132409,-0.05136972,-0.38332844,0.0053743557,-0.08457915,0.7650536,0.01136414,-0.49688572,-0.36285415,-0.63296187,-0.037130985,-0.048649337,-0.63106203
BLCA-1.0,-0.025331713,-0.5964388,0.36502853,0.6189764,-0.3010337,-0.3623402,-0.0178742,-0.20883507,-0.06850051,-0.25703716,0.029428009,-0.08159164,-1.604861,-0.39041308,0.29468974,-0.3422995,-0.78345364,-0.45499164,0.050779797,-0.56764686
BRCA-1.0,0.33077785,-0.1971239,0.18439661,0.08738373,0.73924756,0.5677285,1.1663073,0.56059474,-0.018614735,-0.1851034,0.02505258,-0.044410262,1.1718386,0.079202406,0.9513884,-0.10077089,-0.3853554,-0.17434227,-0.2749817,-0.652981
COAD-1.0,0.061544556,-0.64646184,-0.16865297,-0.022954114,-0.086234964,-0.12527242,-0.16559674,-0.2438338,-0.02205428,-0.2548385,0.008635605,-0.08449023,0.18379119,0.16493182,-0.26677808,-0.50416493,-1.1766481,-0.7481,0.38826436,-0.84376746
ESCA-1.0,-0.07173821,-0.6285472,-0.16364576,0.48687318,-0.08969374,-0.09709668,-0.1129261,-0.35461172,-0.027187426,-0.21042469,0.0061800303,-0.052348204,-1.2424977,0.2471259,0.040217593,-0.41111115,-0.96640354,-0.8567488,-0.7366386,-0.8493651
KICH-1.0,0.46008363,0.82879597,0.18402657,-0.1993839,-0.191514,-0.1143341,0.09679558,-0.037775174,-0.075061634,0.2685569,0.12477577,-0.15244463,2.9560957,-0.043302707,0.09622852,-0.5207726,-0.42074436,0.4749357,0.83260775,-0.6336742
KIRC-1.0,-0.0010213237,0.4104217,-0.013783084,-0.32375798,-0.2701005,-0.24450944,-0.5039511,-0.10020936,-0.09766303,0.12221063,0.070157245,-0.18953536,-1.0354441,-0.12905298,-0.16273244,-0.32591993,-0.51757747,0.33963132,0.7940971,-0.756021
KIRP-1.0,0.16454503,0.66738653,0.023640422,-0.3129022,-0.29333127,-0.26628086,-0.40387827,-0.05764772,-0.077015825,0.12822504,0.070157245,-0.19025134,-1.0403315,-0.09816623,-0.16192621,-0.4037121,-0.5878139,0.31581452,0.72636354,-0.7039162
LAML-1.0,0.07151188,-0.30969635,-0.46599331,-0.06362871,0.099319994,-0.25592744,-0.7387582,-1.2081592,-0.07428632,-0.2637293,0.040941354,-0.06369875,-0.03799492,0.5077433,-0.2992816,-0.27726984,-0.7399456,0.4849196,-0.70463794,-0.6818904
