Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.6523255813953488,0.6363665407816647,0.7337209302325581,0.7085060233775167,0.6930232558139535,0.4546100567261879,0.719767441860465,0.6098504441325183,0.7005813953488373,0.648328019676704
2,0.6686046511627907,0.5795504036224608,0.697093023255814,0.5458099423518331,0.5965116279069768,0.3570187301029636,0.672093023255814,0.5461052670804324,0.6273255813953489,0.5704097252936262
3,0.813953488372093,0.5817541064677435,0.7999999999999998,0.6060008870715763,0.5383720930232558,0.3141318828401506,0.8395348837209302,0.6357031735769592,0.7860465116279071,0.6172328357879884
4,0.7872093023255815,0.772052425142693,0.8401162790697675,0.8214702444943301,0.4441860465116279,0.28154555587013164,0.7976744186046512,0.7968280746999887,0.7994186046511629,0.698232976299014
5,0.791860465116279,0.6949470445453483,0.8395348837209303,0.6726854735398534,0.6104651162790699,0.3832573637076281,0.7604651162790697,0.5843829827367667,0.7581395348837209,0.6058121236894822
6,0.8162790697674419,0.6790324703906361,0.8290697674418603,0.7215441290571325,0.4848837209302326,0.282950717268329,0.8063953488372094,0.7346406099836194,0.7709302325581395,0.632551406926407
7,0.7267441860465116,0.5959638243361015,0.7406976744186048,0.6993215409728275,0.536046511627907,0.35591560462313504,0.7558139534883721,0.6968713732034151,0.6895348837209302,0.6113910742035742
8,0.7197674418604652,0.544543698898417,0.7517441860465117,0.5312788691044285,0.47325581395348837,0.3507972856397809,0.7767441860465116,0.6013824910745471,0.6982558139534883,0.48709680163108393
9,0.613953488372093,0.4982108812826161,0.6843023255813953,0.5132426323088736,0.37790697674418605,0.2902995397231121,0.6244186046511627,0.4981282217850149,0.6796511627906976,0.5413427128427128
10,0.6487148102815178,0.5254417155005193,0.642594859241126,0.5602218702192909,0.5887392900856794,0.33838667684451784,0.6450428396572828,0.5498672607387305,0.6291309669522644,0.5609661012112825
Average,0.7239412484700123,0.61078631109682,0.7558873929008568,0.6380081612497662,0.5343390452876378,0.34089134133459364,0.7397949816401469,0.6253759899011992,0.7139014687882497,0.5973363777561875
