Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.758108108108108,0.6272492731915447,0.7516891891891893,0.620469285458459,0.6749999999999999,0.30002012988415044,0.7898648648648648,0.6402435038767937,0.6719594594594595,0.5335319758225907
2,0.7655405405405405,0.5007468912245565,0.7435810810810811,0.5387965287855708,0.5763513513513514,0.28435537966941055,0.7229729729729729,0.5117289086905275,0.6763513513513513,0.469658047711794
3,0.8891891891891892,0.6845671001617524,0.8510135135135134,0.5860379893278297,0.5378378378378378,0.24860271153252705,0.8891891891891892,0.5855802685577702,0.8179054054054054,0.5541045735228575
4,0.7844594594594595,0.5747915596339359,0.814527027027027,0.534725901401877,0.4986486486486487,0.22071316390261222,0.7999999999999999,0.5945652997651606,0.8165540540540541,0.5861106692271488
5,0.8202702702702703,0.6144410873443183,0.856418918918919,0.7106252602525445,0.48445945945945945,0.19452382595298204,0.8304054054054054,0.5764387690624186,0.8506756756756757,0.7721927178168919
6,0.8304054054054055,0.6921908561969798,0.8195945945945945,0.6899493827064087,0.47297297297297297,0.20247204418143502,0.7993243243243243,0.6709968038267269,0.7520270270270271,0.6581208201230966
7,0.7979452054794521,0.6055385919446659,0.7455479452054794,0.5879461839194404,0.5726027397260274,0.2673147158874757,0.7636986301369862,0.5652550887403432,0.7373287671232878,0.506320822556591
8,0.7260273972602739,0.5797861853812788,0.7345890410958904,0.5352348605975598,0.44178082191780826,0.1828068223482684,0.8,0.5826178014517772,0.6657534246575343,0.42587657376579274
9,0.658904109589041,0.5406227653250105,0.7253424657534246,0.5145265888651273,0.4931506849315069,0.24056626486416038,0.6897260273972603,0.5131280106259192,0.7058219178082192,0.47646477777082363
10,0.6916785206258891,0.44059256616613435,0.6710526315789473,0.4133721813539608,0.471194879089616,0.18242558681083654,0.6973684210526315,0.5086038916526896,0.6226884779516358,0.49218952430892726
Average,0.7722528205927629,0.5860526876570177,0.7713356407958066,0.5731684162668778,0.5223999395935228,0.23238006450338583,0.7782549835343635,0.5749158346250127,0.731706556051365,0.5474570502626515
