Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7756756756756756,0.6592568152271245,0.7506756756756757,0.64764857996085,0.7925675675675676,0.6463727145785125,0.7993243243243243,0.64194488218278,0.7385135135135135,0.6274791674805358
2,0.7547297297297297,0.5601637033483442,0.7837837837837838,0.5436794586725432,0.731081081081081,0.44675743440728916,0.7621621621621621,0.5696447797510616,0.7797297297297298,0.5677673484872892
3,0.902027027027027,0.7308270345746428,0.8837837837837837,0.6574053654095671,0.8,0.40616508410943375,0.8621621621621622,0.7007851431924716,0.8597972972972973,0.6581270533068806
4,0.8195945945945947,0.6534290852812271,0.8060810810810811,0.5791695969318832,0.7229729729729729,0.481355480688134,0.783108108108108,0.6069813046187982,0.7956081081081081,0.5346683959765488
5,0.8439189189189189,0.7055124121438927,0.8641891891891892,0.7100908266249547,0.706081081081081,0.34012786638390197,0.8702702702702703,0.7208824983247716,0.8506756756756758,0.6105484614539315
6,0.7993243243243242,0.6908983889772977,0.8601351351351352,0.7160434418669896,0.7567567567567568,0.5863873773463713,0.8006756756756757,0.6823419297746016,0.7692567567567568,0.6692815877130152
7,0.7575342465753424,0.5784595985574291,0.7787671232876713,0.6198391587901119,0.6767123287671233,0.3797153024125705,0.7643835616438356,0.5682298826155812,0.7705479452054794,0.5882853746941874
8,0.8061643835616439,0.6131029998704296,0.7773972602739726,0.5555772214308425,0.6897260273972603,0.38481850923445093,0.8486301369863014,0.6638354648089673,0.7845890410958904,0.6139746240359399
9,0.6753424657534246,0.5601980100933751,0.723972602739726,0.5791206798840627,0.6849315068493151,0.3561006604259576,0.7075342465753425,0.518630422534741,0.7441780821917808,0.5551745720230092
10,0.7051920341394026,0.5452123891832623,0.7272403982930299,0.5125999527712438,0.633357041251778,0.32973909942192775,0.7179943100995733,0.5871309991253915,0.7044807965860597,0.5257262887496544
Average,0.7839503400300084,0.6297060437257025,0.7956026033243049,0.6121174282343049,0.7194186363724936,0.43575395290085495,0.7916244958007755,0.6260407306929165,0.7797376946160292,0.5951032873920992
