Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7505626406601651,0.6629082240817898,0.7490622655663915,0.730935462076065,0.5341335333833458,0.5020066275243777,0.7160540135033758,0.6353417567289265,0.7119279819954989,0.6767231552155277
2,0.7614403600900225,0.7667495896671097,0.7366841710427606,0.7429160505899683,0.4763690922730683,0.43968354797349707,0.7269317329332333,0.7146380505162979,0.713053263315829,0.7030059091973355
3,0.6766691672918229,0.6335916102922361,0.6571642910727682,0.680394044821742,0.5033758439609902,0.3956767881144091,0.6429107276819205,0.6210285934109423,0.6444111027756938,0.6309108687568588
4,0.7314328582145537,0.6316743627265633,0.7569392348087022,0.6417828364012531,0.6226556639159789,0.5271632880870364,0.7509377344336083,0.6278875254361904,0.7569392348087022,0.6893563054961866
5,0.7366841710427606,0.700147210996771,0.7674418604651163,0.7403167866742271,0.6054013503375844,0.5881936981863629,0.7359339834958739,0.694458789852376,0.7246811702925732,0.6069755672706033
6,0.7044261065266316,0.5594998324256689,0.6804201050262566,0.5515874840511394,0.5611402850712679,0.4463594828341912,0.6909227306826707,0.5511994429345173,0.6834208552138035,0.5704615216543165
7,0.7471867966991748,0.7272447278188243,0.7066766691672918,0.5914830013406787,0.6219054763690923,0.4830633092656749,0.7591897974493623,0.7222707335283002,0.7111777944486122,0.6627402528155563
8,0.7162790697674419,0.6340318223253603,0.7519379844961241,0.6128841772053432,0.5325581395348837,0.4703735418319446,0.7368217054263566,0.6925058574761591,0.7151162790697673,0.5709701733577439
9,0.7930232558139534,0.7081464509651342,0.7883720930232558,0.6964116412457387,0.562015503875969,0.482142437446415,0.7736434108527132,0.7060734227608002,0.7790697674418604,0.6920749403088325
10,0.7333333333333333,0.6459142234143072,0.7116279069767442,0.5488021094595102,0.49534883720930234,0.3877089029842022,0.7007751937984497,0.5568284586415544,0.6697674418604651,0.5340593683916739
Average,0.735103775943986,0.6669908054713765,0.7306326581645411,0.6537513593865666,0.5514903725931483,0.4722371624248111,0.7234121030257564,0.6522232631286065,0.7109564891222806,0.6337278062464635
