Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
20q,ACC,0.26285230191181824,1.6234382635167486,1.7083624330460945,2.8696480126579287,,1.7402990632259523,-3.7072739429838215,,,,,,0.6061519544189383,,,0.002890173,0.01734104,-0.15306907683946286,,0.12140575079872204,1
20q,BLCA,0.9512728124457748,1.5044627827534822,0.3046077422777767,1.722110248548451,,,-1.9981703566361662,,,,,,1.0,0.9909732393329556,2.6629257309880217,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,BRCA,0.19429569498640048,1.5957998709580004,0.382785356856943,1.4694441378492504,0.0902415,1.8381048642473743,-1.0408198729360236,0.5517439585416668,,,,,0.12646790016210926,1.145581643893117,1.335490825643925,0.002890173,0.01734104,-0.8490231462028873,-0.6832583968695145,0.12140575079872204,1
20q,CESC,0.5714072958615519,1.1024107864471342,0.2762587961722167,1.1388186091698196,,,-2.6938020403518603,,,,,,0.2419744685418973,,,0.002890173,0.01734104,-0.5643146632814864,,0.12140575079872204,1
20q,COAD,0.3979114855881487,1.626562021886354,0.844366514397692,1.961960922541344,0.11025599999999999,1.2472244406197315,-1.2196702059171234,0.36179884369520543,,,,,0.4516409374332978,1.2758653305745942,1.8670958551466328,0.002890173,0.01734104,-0.5010461115211751,-0.027330335874779847,0.12140575079872204,1
20q,ESCA,0.8301043973264847,1.2651549302196476,0.4759159509054491,0.3302464761731929,0.10724924999999996,0.8507573461398755,-2.502219660123991,0.39769300350089715,,,,,0.189745887478938,1.552121598059937,1.3317967333488483,0.002890173,0.01734104,-0.2796061803600855,-0.027330335874779847,0.12140575079872204,1
20q,GBM,0.6307454642421119,1.737976337330665,1.7411211721202886,1.964628881875682,0.16029862499999997,1.7836179679946291,-2.110285896705899,2.9860685282426287,2.0408659022276114,1.8750662756624468,1.9676676237717792,1.9643790617363428,0.37484948342129093,,,0.002890173,0.01734104,-0.02653197331884023,,0.12140575079872204,1
20q,KICH,0.11556286864523294,2.204397295716726,1.7248233252855951,2.77557289606633,,,-4.233319941034374,,1.6218302550637222,1.9830917880115595,1.9458730037160832,1.888777354539196,0.4604427483077486,1.3935618897845996,1.4713526841820816,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,0
20q,KIRC,0.11556286864523294,2.204397295716726,1.7248233252855951,2.77557289606633,,,-4.233319941034374,,1.6218302550637222,1.9830917880115595,1.9458730037160832,1.888777354539196,0.13845765359700907,1.3935618897845996,1.4713526841820816,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
20q,KIRP,0.11556286864523294,2.204397295716726,1.7248233252855951,2.77557289606633,,,-4.233319941034374,,1.6218302550637222,1.9830917880115595,1.9458730037160832,1.888777354539196,0.25743274759824647,1.3935618897845996,1.4713526841820816,0.002890173,0.01734104,-0.3428747321203968,0.9565617556173222,0.12140575079872204,1
20q,LAML,0.7744150565898077,1.5629461207483564,4.040997888494005,3.101373650258627,0.0725455,1.4201050554279162,-7.10059990735135,3.7143171530269417,,,,,0.5938255945219931,1.2615112556670445,1.536168306097531,0.002890173,0.01734104,2.9470899594157918,-0.6832583968695145,0.12140575079872204,0
20q,LGG,0.6307454642421119,1.737976337330665,1.7411211721202886,1.964628881875682,0.16029862499999997,1.7836179679946291,-2.110285896705899,2.9860685282426287,2.0408659022276114,1.8750662756624468,1.9676676237717792,1.9643790617363428,0.3344105592806295,,,0.002890173,0.01734104,-0.02653197331884023,,0.12140575079872204,0
20q,LIHC,0.4395042339506177,2.215266893041876,3.238817363605643,3.5026445035884697,0.23686999999999994,2.1359130886302027,-5.7707001581600235,1.0050129882596153,1.82284698652302,2.2385776702427345,1.9614301616237566,1.9876557270967066,0.0,1.5275768747585323,2.338449455085136,0.002890173,0.01734104,0.8592277513255183,0.3006336946225875,0.12140575079872204,1
20q,LUAD,0.2016182195897279,1.825641192119208,1.2961591139727866,1.9144911440315904,0.1307795,0.8625781574112538,-1.3588633691721352,1.451067969220159,,,,,1.0,0.7371080246218503,0.9141718509288004,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,LUSC,0.2016182195897279,1.825641192119208,1.2961591139727866,1.9144911440315904,0.1307795,0.8625781574112538,-1.3588633691721352,1.451067969220159,,,,,0.6921984122311431,0.7371080246218503,0.9141718509288004,0.002890173,0.01734104,-0.46941183564101946,-1.0112224273668804,0.12140575079872204,1
20q,OV,0.3958365865484512,1.0989637303399211,1.8429934240406165,1.7409447528062356,0.1117055,2.07809781411514,-2.8669004416062487,0.4327333516,1.488505028754767,2.024611859572662,,,0.7838341608169157,1.200342308036486,1.823514651369705,0.002890173,0.01734104,-0.21633762859977418,-0.3552943663721472,0.12140575079872204,1
20q,PAAD,0.1279056974058951,1.747497007506963,2.011869540407392,3.5026445035884697,,1.364837280620535,-3.289018504774746,,,,,,0.4948793777761527,1.3640157580619865,1.627688903072502,0.002890173,0.01734104,-0.2796061803600855,-0.6832583968695145,0.12140575079872204,1
20q,PRAD,0.41398241634987903,1.7725728767536784,1.4433626443865442,2.100842150663667,0.13752799999999998,1.7781769648997114,-1.145361444082687,0.8456610361666667,,,,,0.23944060285578042,3.011277176376701,2.0191122733442266,0.002890173,0.01734104,-0.5326803874013307,0.9565617556173222,0.12140575079872204,0
20q,SKCM,0.2453356806492001,2.2491132194702264,1.949309416851572,2.9066339390963294,0.16118875,0.6354466264365486,-2.6075595507538685,0.8014621698541666,,,,,0.0,1.8205723286040367,1.385602194964848,0.002890173,0.01734104,0.2581765096025608,-0.027330335874779847,0.12140575079872204,1
20q,STAD,0.0750301196774084,1.7326053897820148,1.3642461517517384,2.0258356919423663,0.10794500000000001,1.7149759771583797,-0.945253666483194,,,,,,0.4475686061734436,,,0.002890173,0.01734104,-0.595948939161642,,0.12140575079872204,1
