Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.741279069767442,0.6735786084597024,0.7453488372093023,0.6809638558103546,0.6441860465116279,0.43366562434297173,0.6906976744186046,0.6187156112454684,0.7011627906976744,0.6113037299364936
2,0.6837209302325581,0.5915001584307004,0.7430232558139535,0.634540828007964,0.6511627906976745,0.487860732022534,0.7104651162790697,0.6173890210649091,0.7284883720930233,0.5911582001185746
3,0.7877906976744186,0.640402969262976,0.8162790697674419,0.5727204871827479,0.6686046511627908,0.3853757711986063,0.8186046511627907,0.5803179404781098,0.8511627906976744,0.6730534365512333
4,0.8372093023255814,0.8454176265356731,0.8186046511627908,0.8007938143898583,0.5662790697674418,0.356352566260987,0.8104651162790698,0.7962569508675519,0.8232558139534883,0.814978585907236
5,0.8470930232558139,0.7281910524428978,0.8244186046511628,0.6319020071520244,0.6883720930232557,0.4255508045105998,0.8046511627906977,0.634156293435437,0.8127906976744187,0.6621115854907969
6,0.7761627906976744,0.7338787942494396,0.8011627906976744,0.7085950621870745,0.6604651162790697,0.37714542136343293,0.7232558139534884,0.6867678271326985,0.772674418604651,0.6904720880133167
7,0.7162790697674419,0.6541734704324967,0.744186046511628,0.6869448664203033,0.5924418604651163,0.40707625624635124,0.7034883720930233,0.64676331599413,0.7122093023255814,0.5783682000038575
8,0.7691860465116279,0.5888564907738566,0.7511627906976744,0.4879666909593076,0.6302325581395349,0.4048160120722819,0.7534883720930232,0.5076434287393693,0.6918604651162791,0.4460164501730278
9,0.6715116279069767,0.5478182676565869,0.7290697674418605,0.5289228905980903,0.5395348837209302,0.3614748300972664,0.6616279069767441,0.5269676978192112,0.727906976744186,0.5423929840302164
10,0.6774785801713585,0.6017799116593736,0.6793145654834761,0.5915586611005581,0.6376988984088128,0.3987979402303793,0.6719706242350061,0.5996590833978612,0.6529987760097918,0.6301714748629594
Average,0.7507711138310893,0.6605597349903704,0.7652570379436965,0.6324909163808283,0.6278977968176255,0.40381159583454107,0.7348714810281518,0.6214637170174746,0.7474510403916769,0.6240026735087713
