Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
ACC-20q,0.023536177,0.059486575,-0.15986222,-0.0010385629,-0.35094643,0.1793923,-0.055162467,0.15645252,0.3201248,0.04601878,0.022676906,0.1249082,0.16026922,2.462878,1.9514784,-0.1242419,0.23019767,0.97040176,0.9342202,0.9485933
BLCA-20q,0.1388589,0.13572168,0.06082031,-0.06370134,0.2695634,0.12728585,0.05347823,0.06051461,0.64293635,-0.14057608,-0.011151005,0.0918217,0.11821034,2.122405,1.7722354,-0.06662369,-0.121550284,0.4342662,-0.0039461516,1.0605261
BRCA-20q,0.20671044,0.12358256,-0.04650279,-0.006574849,-0.23721808,-0.007138081,-0.28651714,0.047702394,0.66701716,-0.1630743,-0.044798676,0.08473301,0.103618465,2.9038446,2.2834892,-0.20642294,-0.070756234,0.76709116,0.49765328,-0.26978394
CESC-20q,0.103202604,0.06558977,0.3111668,-0.009013647,0.16946796,-0.28318712,-0.008678415,0.06633499,0.3203661,-0.00046987098,-0.023704546,0.09318915,0.158817,2.3881354,1.7566092,-0.17701235,0.12428326,0.6095164,-0.33695397,0.18201141
COAD-20q,-0.34127432,0.07599514,-0.10161477,-0.42082116,0.18980862,-0.13795051,0.2443385,0.06023389,0.50162584,-0.00058505364,-0.07698665,0.050128862,0.12155132,2.9157112,2.2143438,-0.21395613,0.014084413,0.34918723,0.2728047,-0.058913507
ESCA-20q,-0.27621573,0.08344823,0.32918906,-0.33779794,0.18582658,-0.16840896,0.1393203,0.055670746,0.3401918,0.09232096,-0.07670195,0.09800965,0.10373488,3.2152896,2.1372266,0.15073153,0.035908736,0.34108758,-0.3094141,0.2789571
GBM-20q,0.186489,0.072630666,-0.2046409,0.10634749,-0.41126487,-0.10463743,0.036113057,-0.15836443,0.098755375,0.044350903,-0.0018824209,0.020088343,-0.2763043,2.4886842,1.5891281,-0.11120596,0.03436622,0.12362877,-0.33881333,0.84075296
KICH-20q,0.16606419,-0.2631322,-0.0904921,-0.05200262,0.05383658,0.045574836,-0.015746003,-0.34965172,0.20280735,-0.12059841,0.002577879,-0.7119838,-0.70587355,0.54924095,1.4145375,-0.02250649,-0.11242464,0.75774074,-0.36347792,-1.2665561
KIRC-20q,0.20688394,-0.038493752,0.13368478,-0.064829424,-0.018088022,0.040522344,-0.07067592,-0.18741195,0.12638262,-0.13165522,0.27428988,-0.1377945,-0.41828096,1.8970387,1.7282598,0.093096636,-0.13569249,0.93478984,0.12752838,0.92149204
KIRP-20q,0.29569134,0.0062634163,0.17482732,-0.040963825,0.036975306,0.03905285,-0.070368,-0.24094552,0.24567527,-0.12662496,0.3148096,-0.14072126,-0.41659564,1.5040643,1.6216117,0.123894826,-0.10687385,0.88306445,0.10259524,0.8751177
LAML-20q,-0.8654096,-0.48492947,-0.25941706,-0.5405523,-0.04864784,-0.12445124,-0.72874016,0.056720305,0.6330146,-0.019873533,-0.08854139,0.004697082,0.059473265,1.3158225,0.87585443,-0.31746346,-0.13937746,0.35744447,-0.8538697,-0.85295725
