Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.7142857142857143,0.48363146114861494,0.7314388120839733,0.6113893338540815,0.572452636968766,0.3773927421723972,0.7414234511008705,0.6076576596163807,0.7337429595494112,0.6080029816221595
2,0.7598566308243728,0.5623325517948232,0.7636968766001023,0.5670190735096899,0.5514592933947773,0.3565684677426427,0.771121351766513,0.583034003684194,0.7741935483870968,0.52905034697764
3,0.6799795186891961,0.4816414504556803,0.7050691244239632,0.4677938624187188,0.5417306707629288,0.34754391886283964,0.7506400409626216,0.563923702528689,0.743215565796211,0.5478538776214299
4,0.7332309267793139,0.5652622743663873,0.7112135176651306,0.5564080288687097,0.5360983102918587,0.41173347047777986,0.7511520737327189,0.6143987701541652,0.7186379928315413,0.506960846291663
5,0.6953405017921147,0.5078709179814951,0.6620583717357912,0.5229716365183354,0.5227854582693292,0.31273955025009703,0.6948284690220174,0.5304718639593758,0.6382488479262672,0.4579554961974518
6,0.7327188940092166,0.54602550741774,0.756784434203789,0.5519202953058887,0.48950332821300563,0.3514093505802879,0.7360471070148491,0.5648447956826201,0.6431131592421915,0.4360976467918564
7,0.7232804232804233,0.5009226414481227,0.7431216931216932,0.5159621770973417,0.46190476190476193,0.32786764430048887,0.7708994708994709,0.6549617241221443,0.7648148148148148,0.6267008493967431
8,0.724867724867725,0.5524097300806274,0.7058201058201059,0.544486020464675,0.5333333333333333,0.3566539597918274,0.752910052910053,0.5317212422039251,0.7037037037037037,0.5115011547351579
9,0.782010582010582,0.6549579896852962,0.764814814814815,0.6635950654267202,0.5703703703703704,0.37442938776711965,0.8005291005291006,0.6587431182002669,0.7494708994708994,0.6250827605221376
10,0.7258064516129032,0.5331015902384364,0.7486992715920915,0.5124870734720479,0.6982310093652445,0.5102085318098799,0.7783558792924037,0.5821458041479893,0.7447970863683663,0.582437259616329
Average,0.7271377368151563,0.5388156114617224,0.7292717022061456,0.5514032566936209,0.5477869172874376,0.372654702375536,0.7547906997230619,0.589190268429975,0.7213938578090503,0.5431643219772568
