Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,(neutarl) TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
20q,ACC,0.176230016848517,1.3524330301271783,1.3114619807940822,1.9390720987797534,,1.6703143110527114,-2.4117885843278306,,,,,,0.7193165147083266,,,0.002890173,0.01734104,0.12653710352062264,,0.12140575079872204,1
20q,BLCA,1.0,1.2459078577801062,0.11288579977893426,0.3655035660819937,,,-0.6938276756916302,,,,,,1.0,0.7884721704169899,2.490379918697213,0.002890173,0.01734104,-0.18980565528093396,-0.9838920914921004,0.12140575079872204,1
20q,BRCA,0.25283310169587464,1.4360817719392909,0.14478684794915408,0.9040663040023704,0.07393125,1.665910782904568,-0.3174886674383,0.4760807633750001,,,,,0.23661347023206966,0.9318850311617581,1.2089481176506967,0.002890173,0.01734104,-0.5694169658428019,-0.6559280609947347,0.12140575079872204,1
20q,CESC,0.4905157721036723,0.9919783203097448,-0.008236388145260957,0.5011531249896111,,,-1.1958795042165897,,,,,,0.48325392859888233,,,0.002890173,0.01734104,-0.28470848292140094,,0.12140575079872204,1
20q,COAD,0.46253760999528076,1.336836492638149,0.39433994329164174,1.4283035813557712,0.05947624999999995,1.0985043685115428,-0.8280757672452983,0.299937561,,,,,0.3077929922899851,1.1412917426312674,1.5861362482347217,0.002890173,0.01734104,-0.22143993116108962,0.0,0.12140575079872204,1
20q,ESCA,0.49172723196561996,1.1300922235529893,0.2468469812443336,0.0,0.06377925000000001,0.721004483065741,-0.9118384127594481,0.3460143725555556,,,,,0.12993882306914942,1.0814210893979006,0.9595378100059697,0.002890173,0.01734104,0.0,0.0,0.12140575079872204,1
20q,GBM,0.3854918639084779,1.5346638040084164,1.3834474273708441,1.447872131377073,0.11061937499999994,1.6888546775834934,-1.3353660453428744,2.5125484500769235,1.7290404319961563,1.7686409795695117,1.8661484704748246,1.7869861950454824,0.14751681141647635,,,0.002890173,0.01734104,0.2530742070412453,,0.12140575079872204,1
20q,KICH,0.10331684551531503,1.6473906952109676,1.024891408329934,2.3818818389903824,,,-2.722826138411946,,1.172825249363382,1.3814475690468362,1.639373372272579,1.6311508450798493,0.6147763296449129,1.2096912322638946,1.2589867460338362,0.002890173,0.01734104,-0.06326855176031132,0.983892091492102,0.12140575079872204,0
20q,KIRC,0.10331684551531503,1.6473906952109676,1.024891408329934,2.3818818389903824,,,-2.722826138411946,,1.172825249363382,1.3814475690468362,1.639373372272579,1.6311508450798493,0.18237428022565974,1.2096912322638946,1.2589867460338362,0.002890173,0.01734104,-0.06326855176031132,0.983892091492102,0.12140575079872204,1
20q,KIRP,0.10331684551531503,1.6473906952109676,1.024891408329934,2.3818818389903824,,,-2.722826138411946,,1.172825249363382,1.3814475690468362,1.639373372272579,1.6311508450798493,0.2784565690976495,1.2096912322638946,1.2589867460338362,0.002890173,0.01734104,-0.06326855176031132,0.983892091492102,0.12140575079872204,1
20q,LAML,0.7253269587630625,1.2278717479244416,3.7926078238474004,2.863132554968206,0.03518099999999995,1.1847228549464215,-6.999569889361446,2.187042819452381,,,,,0.3865697316770232,0.949694017664735,1.3953732493648285,0.002890173,0.01734104,3.226696139775877,-0.6559280609947347,0.12140575079872204,0
20q,LGG,0.3854918639084779,1.5346638040084164,1.3834474273708441,1.447872131377073,0.11061937499999994,1.6888546775834934,-1.3353660453428744,2.5125484500769235,1.7290404319961563,1.7686409795695117,1.8661484704748246,1.7869861950454824,0.36720806627135816,,,0.002890173,0.01734104,0.2530742070412453,,0.12140575079872204,0
20q,LIHC,0.19639069722370714,1.6605583600734004,2.802115602870776,3.0851955351508877,0.06091875,1.947404863237149,-4.657880364090317,0.6080179016666667,1.6272749973118081,2.1141784009980054,1.8690601124838415,1.8294187947493628,0.0,1.2510026143527595,2.0075629588905555,0.002890173,0.01734104,1.1388339316856038,0.32796403049736733,0.12140575079872204,1
20q,LUAD,0.2078202548942709,1.7309880955735804,1.1162403219685697,1.6767117252728012,0.09678325,0.6090153258288235,-0.7904381155002749,1.2972954601428572,,,,,0.7837937478107191,0.6047095740614374,0.7776021304140012,0.002890173,0.01734104,-0.18980565528093396,-0.9838920914921004,0.12140575079872204,1
20q,LUSC,0.2078202548942709,1.7309880955735804,1.1162403219685697,1.6767117252728012,0.09678325,0.6090153258288235,-0.7904381155002749,1.2972954601428572,,,,,0.7485703799478359,0.6047095740614374,0.7776021304140012,0.002890173,0.01734104,-0.18980565528093396,-0.9838920914921004,0.12140575079872204,1
20q,OV,0.34568094877850897,0.9463751760590409,1.0305816605628815,1.1175858853310712,0.093095,1.924011125212944,-1.5608377130666167,0.2457965634615385,0.9169837662799885,1.822382518704208,,,0.7029622291535541,1.019165868030395,1.4757021028128763,0.002890173,0.01734104,0.06326855176031132,-0.32796403049736733,0.12140575079872204,1
20q,PAAD,0.17902803274555898,1.5063814872684762,1.7083624330460945,2.1265517210315443,,1.2749831913845082,-2.294909085161597,,,,,,0.6791729565190088,1.1163072164146768,1.356414616841432,0.002890173,0.01734104,0.0,-0.6559280609947347,0.12140575079872204,1
20q,PRAD,0.6242624234894927,1.3687505102420856,0.8801730351765167,1.8053056799431006,0.08681299999999995,1.686009880308901,-0.7440225074924685,0.31146302,,,,,0.26805487432470393,2.328671848178817,1.746502530422189,0.002890173,0.01734104,-0.2530742070412453,0.983892091492102,0.12140575079872204,0
