Arm,Del frequency,Amp frequency,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
1p,0.2,0.13,0.39981690882693804,1.4212486136094147,0.9649135253326874,1.473656720307409,0.089938,1.5382921394208922,-1.4356511964349568,0.4689760735454545,1.4896063304297762,1.6673408993310446,1.9125539667480236,1.8635275138794345,0.4166051094618314,1.1206652992231507,1.402321752579609,0.020730503,0.008884501,-0.32177143263638885,-0.3896346769964817,0.0948660714285714
1q,0.12,0.30500000000000005,0.2990994226610206,1.4591609812411894,0.969944910700394,1.571789533214115,0.0975414999999999,1.4843255485187166,-1.3300498448682283,0.5457055121188445,1.590929538955375,1.56276138202048,1.8474879455045288,1.85852867316914,0.48323309235098577,1.2773666269159019,1.5038046998808616,0.008667389,0.01191766,-0.48405696938804765,-0.2539312899189016,0.0803357314148681
2p,0.07,0.175,0.3845524111853492,1.4408872991398156,0.960701326427019,1.453165334969491,0.079179,1.522970097975068,-1.4334852354019723,0.4732808036654797,1.555328274521631,1.5047380361863687,1.9104592928174928,1.7606176789605008,0.426554455862315,1.0603452964571844,1.4719517826192927,0.019693654,0.015317287,-0.3842979621259886,0.0593118268280903,0.1198044009779951
2q,0.065,0.155,0.4695120337398988,1.4315991138909703,0.996607583816186,1.4829671207372805,0.0859994999999999,1.4215806195355811,-1.358683419340537,0.5984717151939951,1.521486455159834,1.860899416085244,1.89911609142901,1.9303201293325087,0.494965008399357,1.157635692628599,1.4722630045402196,0.019257221,0.013755158,-0.3050087229468922,-0.0204434888329506,0.0623052959501557
3p,0.215,0.12,0.46575109121503816,1.4841124692646772,0.8942190236298155,1.4512348974838918,0.092415,1.5627490628789489,-1.2075697030244519,0.4385506574853181,1.5316038596706818,1.5928784826380806,1.8365484548019184,1.8572002263405152,0.42277327728365277,1.3325806012083228,1.2934726772004377,0.012345679,0.014403292,-0.44808610288972117,0.16208299279366625,0.0790697674418604
3q,0.14,0.21,0.40451396452912447,1.3664184453832022,0.8678954161461744,1.4496098901630594,0.089488,1.5396227799854452,-1.0970892179382483,0.46973684515139674,1.5662500590241344,1.527294810805233,1.881016990187146,1.879557987772393,0.49673451658797463,1.341415964002219,1.355986509177577,0.007259528,0.00907441,-0.4054967003013192,-0.1186903256573133,0.0711297071129707
4p,0.275,0.07,0.4435128787885859,1.3903770098639674,0.8893745074041157,1.1446314716177461,0.0953545,1.465658842682488,-1.03048730796312,0.422749359765625,1.4449271575571374,1.6014913753091315,1.8487691260324532,1.895790590722081,0.3986510729435764,1.2794793829918358,1.2397602792555178,0.019417476,0.009708738,-0.32201060112602037,-0.2017801005095744,0.0611111111111111
4q,0.28,0.055,0.2979383943631007,1.3452680094664005,1.24223788884161,1.2879712876108156,0.10057075,1.5310367657684214,-1.2974219659779314,0.49352623748863644,1.4568005354708164,1.775709202448227,1.902810504722133,1.9412048232200363,0.6285274940980747,1.2181239955947731,1.3879061552048757,0.009940358,0.011928429,-0.25715067678323633,-0.467460353365215,0.0528735632183908
5p,0.17,0.22999999999999998,0.4759596407432731,1.3977102689713212,1.1544665861793688,1.4913912846335715,0.1020292499999999,1.484010733904229,-1.0023769929674402,0.4846637450446428,1.622446599135616,1.8625362780295611,1.900962746623521,1.9819769704276664,0.5042453931371644,1.348384117544815,1.541921740773836,0.007194245,0.007194245,-0.1840828406208234,0.4515290778462091,0.0782608695652174
5q,0.19,0.14,0.40493346868745494,1.490103406903463,0.9972891850556538,1.5200353263984065,0.0847562499999999,1.52801176129518,-1.1370708633762752,0.40609897541249995,1.511827573751741,1.605081874712201,1.6993473320623058,1.837906176032587,0.3766459117930364,1.3536379215978496,1.4140017549068435,0.014306152,0.010014306,-0.39021180773442726,-0.5731104354547056,0.097682119205298
6p,0.2,0.195,0.36110944841600434,1.4528767337856725,0.9432951177904734,1.3917369828616624,0.085427,1.4624029625372388,-1.240802694462279,0.577038560434091,1.4924345258733702,1.649977629472079,1.815822820988435,1.7269195804403494,0.42187041856734286,1.2886573037519873,1.4203771089948836,0.008561644,0.008561644,-0.2957141043077902,-0.534613055209883,0.0856269113149847
6q,0.26,0.15,0.3329360265376627,1.461562717553389,0.9531366826007844,1.464849683243386,0.084099,1.5023656943774326,-1.0988708345039297,0.5813080383499999,1.495016630520625,1.9243984500661784,1.9077184466864288,1.8717236937332105,0.38480429581285375,1.1306508138258637,1.3289021004778645,0.026634383,0.00968523,-0.4616433061043872,-0.19481733849824165,0.0804597701149425
7p,0.1,0.405,0.4621793288659912,1.4948655530396815,0.971166738921311,1.7124976992783125,0.0949755,1.478976398328978,-1.139301227318623,0.5536324254134616,1.5724572453665489,1.860015440898068,1.8285294474101972,1.9698345993266877,0.47362759379353686,1.2521852562181066,1.3899925931894297,0.007168459,0.025089606,-0.32455555275975895,0.1025242795757786,0.0696721311475409
7q,0.10500000000000001,0.39,0.45152901860737904,1.4711805297785956,1.1402365251772943,1.3198698449292476,0.091365,1.475443218170799,-1.3160947647439079,0.3773383588010416,1.5657684206424247,1.7623041085196363,1.892302676448816,1.8095312755350037,0.49605209743426304,1.2182363632722404,1.357495059036128,0.005190311,0.019031142,-0.247386741593435,-0.1407466582775945,0.0802348336594911
8p,0.33999999999999997,0.295,0.3692025471419742,1.3691158123851839,0.7838907907130686,1.3370444462397577,0.0916272499999999,1.4530455983681885,-0.9981498511087934,0.6124976907261218,1.3127143369800522,1.4852879050657382,1.9053970775616325,1.8912585233969297,0.38713659975662845,1.1149186095066936,1.3864463638511637,0.0,0.008403361,-0.3624426258889716,0.0757530392399659,0.0471698113207547
8q,0.185,0.49,0.3243316861020514,1.5143788624137495,0.9273806343441312,1.5612206123665633,0.09675675,1.4853666388365263,-1.3208000191042215,0.671098570044697,1.5435201877150024,1.855712817449359,1.8885430605485745,1.8271809585535408,0.4815020826530995,1.2941718750204183,1.378731030498596,0.007653061,0.015306122,-0.3499444963908115,-0.4793896536463101,0.1210374639769452
9p,0.34,0.16,0.3867754907286528,1.486617159249969,0.9353758419445861,1.5551673879793175,0.103364125,1.379000943714418,-1.2113263949497692,0.4640234955021946,1.3801809359409352,1.6472406260631134,1.8124662528548567,1.749672323554187,0.43970647745282376,1.2321229753066911,1.553398228846692,0.014851485,0.0,-0.2965281842222122,-0.4193223128406535,0.0903954802259887
