Chromosome arm,adipose,muscle,artery,heart,uterus,vagina,breast,skin,minor salivary gland,brain,adrenal gland,thyroid,lung,spleen,pancreas,esophagus,stomach,colon,small intestine,prostate,testis,nerve,cells,whole blood,pituitary,ovary,liver,kidney,cervix,fallopian tube,bladder
20q,0.012640449438202247,0.10112359550561797,0.028089887640449437,0.033707865168539325,0.0056179775280898875,0.0056179775280898875,0.0,0.04915730337078652,0.028089887640449437,0.03651685393258427,0.03089887640449438,0.014044943820224719,0.016853932584269662,0.028089887640449437,0.025280898876404494,0.025280898876404494,0.011235955056179775,0.01544943820224719,0.011235955056179775,0.014044943820224719,0.17696629213483145,0.014044943820224719,0.1151685393258427,0.16853932584269662,0.03651685393258427,0.028089887640449437,0.07584269662921349,0.02247191011235955,0.012640449438202247,0.008426966292134831,0.016853932584269662
1q,0.020483193277310924,0.11449579831932773,0.03361344537815126,0.03361344537815126,0.011554621848739496,0.009453781512605041,0.0063025210084033615,0.08245798319327731,0.017857142857142856,0.03046218487394958,0.029411764705882353,0.017857142857142856,0.014705882352941176,0.051470588235294115,0.031512605042016806,0.015756302521008403,0.01365546218487395,0.01523109243697479,0.012605042016806723,0.007352941176470588,0.13550420168067226,0.012605042016806723,0.12710084033613445,0.17542016806722688,0.018907563025210083,0.015756302521008403,0.10819327731092437,0.02415966386554622,0.0063025210084033615,0.0063025210084033615,0.0021008403361344537
1p,0.017535545023696683,0.13270142180094788,0.03601895734597156,0.036492890995260666,0.013270142180094787,0.006635071090047393,0.008530805687203791,0.057345971563981045,0.01990521327014218,0.03317535545023697,0.04075829383886256,0.02085308056872038,0.012322274881516588,0.034123222748815164,0.058767772511848344,0.01042654028436019,0.013270142180094787,0.015165876777251185,0.023696682464454975,0.005687203791469194,0.16303317535545023,0.025592417061611375,0.14454976303317535,0.13080568720379146,0.03696682464454976,0.034123222748815164,0.08720379146919431,0.036492890995260666,0.00900473933649289,0.006635071090047393,0.004739336492890996
6q,0.02494061757719715,0.12826603325415678,0.04513064133016627,0.03800475059382423,0.014251781472684086,0.007125890736342043,0.0023752969121140144,0.028503562945368172,0.026128266033254157,0.040380047505938245,0.06175771971496437,0.0166270783847981,0.007125890736342043,0.035629453681710214,0.040380047505938245,0.014251781472684086,0.0166270783847981,0.013064133016627079,0.004750593824228029,0.0023752969121140144,0.15201900237529692,0.0166270783847981,0.15914489311163896,0.07600950118764846,0.026128266033254157,0.03800475059382423,0.0855106888361045,0.019002375296912115,0.011876484560570071,0.0023752969121140144,0.0
6p,0.01824212271973466,0.0912106135986733,0.01990049751243781,0.03233830845771144,0.004975124378109453,0.011608623548922056,0.006633499170812604,0.05306799336650083,0.009950248756218905,0.028192371475953566,0.04311774461028192,0.028192371475953566,0.01990049751243781,0.05140961857379768,0.04477611940298507,0.011608623548922056,0.01658374792703151,0.013266998341625208,0.02155887230514096,0.01990049751243781,0.16749585406301823,0.008291873963515755,0.1451077943615257,0.24543946932006633,0.028192371475953566,0.02321724709784411,0.0812603648424544,0.03316749585406302,0.005804311774461028,0.003316749585406302,0.004975124378109453
3p,0.02208835341365462,0.1606425702811245,0.04216867469879518,0.05622489959839357,0.012048192771084338,0.006024096385542169,0.010040160642570281,0.035140562248995984,0.012048192771084338,0.03815261044176707,0.03614457831325301,0.018072289156626505,0.020080321285140562,0.03815261044176707,0.04819277108433735,0.014056224899598393,0.008032128514056224,0.010040160642570281,0.014056224899598393,0.008032128514056224,0.1465863453815261,0.020080321285140562,0.13253012048192772,0.13453815261044177,0.03614457831325301,0.040160642570281124,0.09437751004016064,0.02108433734939759,0.009036144578313253,0.010040160642570281,0.004016064257028112
7q,0.027317880794701987,0.1390728476821192,0.028145695364238412,0.03145695364238411,0.004966887417218543,0.006622516556291391,0.004966887417218543,0.04552980132450331,0.014900662251655629,0.0380794701986755,0.04966887417218543,0.03642384105960265,0.016556291390728478,0.039735099337748346,0.061258278145695365,0.018211920529801324,0.011589403973509934,0.014900662251655629,0.02152317880794702,0.008278145695364239,0.18874172185430463,0.013245033112582781,0.1216887417218543,0.13079470198675497,0.0347682119205298,0.024834437086092714,0.076158940397351,0.03394039735099338,0.01076158940397351,0.0016556291390728477,0.0033112582781456954
12p,0.01936619718309859,0.08450704225352113,0.0528169014084507,0.03169014084507042,0.014084507042253521,0.0035211267605633804,0.007042253521126761,0.01936619718309859,0.028169014084507043,0.035211267605633804,0.04929577464788732,0.007042253521126761,0.028169014084507043,0.06338028169014084,0.035211267605633804,0.014084507042253521,0.017605633802816902,0.01936619718309859,0.017605633802816902,0.0035211267605633804,0.14084507042253522,0.03169014084507042,0.13732394366197184,0.15492957746478872,0.02464788732394366,0.06338028169014084,0.10211267605633803,0.02464788732394366,0.00528169014084507,0.0035211267605633804,0.0
11q,0.026221692491060787,0.09296781883194279,0.033373063170441,0.026817640047675805,0.013110846245530394,0.007151370679380214,0.007151370679380214,0.04767580452920143,0.02026221692491061,0.03694874851013111,0.052443384982121574,0.010727056019070322,0.014302741358760428,0.057210965435041714,0.054827175208581644,0.013110846245530394,0.017878426698450536,0.01907032181168057,0.023837902264600714,0.004767580452920143,0.16567342073897498,0.0166865315852205,0.10250297973778308,0.13706793802145412,0.025029797377830752,0.026221692491060787,0.09296781883194279,0.021454112038140644,0.006555423122765197,0.007151370679380214,0.004767580452920143
4p,0.010917030567685589,0.07423580786026202,0.039301310043668124,0.03056768558951965,0.017467248908296942,0.0,0.0,0.04148471615720524,0.013100436681222707,0.0611353711790393,0.026200873362445413,0.013100436681222707,0.013100436681222707,0.048034934497816595,0.039301310043668124,0.017467248908296942,0.021834061135371178,0.024017467248908297,0.013100436681222707,0.0,0.1091703056768559,0.017467248908296942,0.13537117903930132,0.12663755458515283,0.03056768558951965,0.06986899563318777,0.08296943231441048,0.03056768558951965,0.015283842794759825,0.017467248908296942,0.0
