Chromosome_arm,ovary,blood,colorectal,skin,lung,urinary-tract,kidney,breast,pancreas,plasma-cell,central-nervous-system,soft-tissue,lymphocyte,bone,fibroblast,gastric,thyroid,peripheral-nervous-system,prostate,bile-duct,uterus,upper-aerodigestive,esophagus,liver
1p,0.12615384615384614,0.12410256410256411,0.12410256410256411,0.13025641025641024,0.12717948717948718,0.13025641025641024,0.12923076923076923,0.12717948717948718,0.12512820512820513,0.12717948717948718,0.12717948717948718,0.12512820512820513,0.13538461538461538,0.13025641025641024,0.13641025641025642,0.1282051282051282,0.14153846153846153,0.12,0.14564102564102563,0.14871794871794872,0.12615384615384614,0.13230769230769232,0.12512820512820513,0.12512820512820513
1q,0.08362369337979095,0.09407665505226481,0.08943089430894309,0.09175377468060394,0.08246225319396051,0.08710801393728224,0.08943089430894309,0.0859465737514518,0.08246225319396051,0.09407665505226481,0.08362369337979095,0.08362369337979095,0.09334889148191365,0.08710801393728224,,0.08710801393728224,0.08943089430894309,0.08826945412311266,0.11498257839721254,0.09872241579558652,0.0859465737514518,0.09059233449477352,0.0859465737514518,0.08826945412311266
10p,0.08333333333333333,0.10416666666666667,0.09722222222222222,0.09027777777777778,0.09722222222222222,0.09027777777777778,0.10416666666666667,0.10416666666666667,0.0763888888888889,0.09722222222222222,0.09027777777777778,0.09027777777777778,0.10416666666666667,0.09722222222222222,,0.08333333333333333,0.09027777777777778,0.09722222222222222,0.0763888888888889,0.09722222222222222,0.09027777777777778,0.10416666666666667,0.09722222222222222,0.0763888888888889
10q,0.0831758034026465,0.0888468809073724,0.0888468809073724,0.0888468809073724,0.08695652173913043,0.0831758034026465,0.08506616257088846,0.08506616257088846,0.07750472589792061,0.09073724007561437,0.09073724007561437,0.0888468809073724,0.09108159392789374,0.0888468809073724,0.10396975425330812,0.0831758034026465,0.0888468809073724,0.09262759924385633,0.0945179584120983,0.0888468809073724,0.0831758034026465,0.09262759924385633,0.08695652173913043,0.0831758034026465
11p,0.08883248730964467,0.08375634517766498,0.08375634517766498,0.08629441624365482,0.08375634517766498,0.08375634517766498,0.08121827411167512,0.08375634517766498,0.08375634517766498,0.08375634517766498,0.08121827411167512,0.08375634517766498,0.07989690721649484,0.08121827411167512,,0.08375634517766498,0.08121827411167512,0.08121827411167512,0.08121827411167512,0.09644670050761421,0.08121827411167512,0.09390862944162437,0.08375634517766498,0.08629441624365482
11q,0.11213720316622691,0.11609498680738786,0.11609498680738786,0.11213720316622691,0.11873350923482849,0.11873350923482849,0.11609498680738786,0.11213720316622691,0.11741424802110818,0.13060686015831136,0.11213720316622691,0.12005277044854881,0.13624338624338625,0.12532981530343007,0.11477572559366754,0.12401055408970976,0.12928759894459102,0.1266490765171504,0.1279683377308707,0.12401055408970976,0.11345646437994723,0.13060686015831136,0.12401055408970976,0.11609498680738786
12p,0.07662835249042145,0.07279693486590039,0.08045977011494253,0.08045977011494253,0.08045977011494253,0.07662835249042145,0.07662835249042145,0.07662835249042145,0.08045977011494253,0.08045977011494253,0.07279693486590039,0.07662835249042145,0.08108108108108109,0.07662835249042145,,0.0842911877394636,0.0842911877394636,0.07662835249042145,0.08812260536398467,0.08045977011494253,0.07662835249042145,0.07279693486590039,0.07662835249042145,0.0842911877394636
12q,0.13314037626628075,0.1389290882778582,0.1316931982633864,0.13314037626628075,0.1316931982633864,0.13314037626628075,0.1287988422575977,0.13603473227206947,0.13314037626628075,0.13748191027496381,0.13024602026049203,0.13603473227206947,0.13642960812772134,0.14037626628075253,,0.13603473227206947,0.15050651230101303,0.1345875542691751,0.1476121562952243,0.13314037626628075,0.13603473227206947,0.1345875542691751,0.1345875542691751,0.13748191027496381
13q,0.10810810810810811,0.09797297297297297,0.10810810810810811,0.09797297297297297,0.10472972972972973,0.10135135135135136,0.09797297297297297,0.09797297297297297,0.09797297297297297,0.0945945945945946,0.0945945945945946,0.10135135135135136,0.10204081632653061,0.10472972972972973,0.10135135135135136,0.10135135135135136,0.11824324324324324,0.10135135135135136,0.12837837837837837,0.12162162162162163,0.10472972972972973,0.09797297297297297,0.10472972972972973,0.09797297297297297
14q,0.12433392539964476,0.12966252220248667,0.12433392539964476,0.12966252220248667,0.12255772646536411,0.12255772646536411,0.13321492007104796,0.12255772646536411,0.1261101243339254,0.13143872113676733,0.1261101243339254,0.12966252220248667,0.13012477718360071,0.12788632326820604,0.1492007104795737,0.12966252220248667,0.12966252220248667,0.1261101243339254,0.12255772646536411,0.13854351687388988,0.12433392539964476,0.13676731793960922,0.11900532859680284,0.11900532859680284
